year,term
"((""1990/01/01""[Date - Publication] : ""1990/12/31""[Date - Publication]))",Asian[Title])
"((""1991/01/01""[Date - Publication] : ""1991/12/31""[Date - Publication]))",Asian[Title])
"((""1992/01/01""[Date - Publication] : ""1992/12/31""[Date - Publication]))",Asian[Title])
"((""1993/01/01""[Date - Publication] : ""1993/12/31""[Date - Publication]))",Asian[Title])
"((""1994/01/01""[Date - Publication] : ""1994/12/31""[Date - Publication]))",Asian[Title])
"((""1995/01/01""[Date - Publication] : ""1995/12/31""[Date - Publication]))",Asian[Title])
"((""1996/01/01""[Date - Publication] : ""1996/12/31""[Date - Publication]))",Asian[Title])
"((""1997/01/01""[Date - Publication] : ""1997/12/31""[Date - Publication]))",Asian[Title])
"((""1998/01/01""[Date - Publication] : ""1998/12/31""[Date - Publication]))",Asian[Title])
"((""1999/01/01""[Date - Publication] : ""1999/12/31""[Date - Publication]))",Asian[Title])
"((""2000/01/01""[Date - Publication] : ""2000/12/31""[Date - Publication]))",Asian[Title])
